transaction_id,customer_id,merchant_id,device_id,ip_id,timestamp,amount,location,account_age_days,device_age_days,transactions_last_10min,failed_attempts,location_change,amount_deviation,behavior_risk_count,is_fraud,fraud_probability,anomaly_score,model_decision,device_customer_count,ip_customer_count,device_transaction_count,ip_transaction_count,shared_device,shared_ip,entity_risk_count,graph_risk_score,fraud_signal,anomaly_signal,raw_risk_score,expected_fraud_loss,false_positive_cost,approve_cost,verify_cost,review_cost,recommended_action,minimum_expected_cost,decision_is_intervention,actual_fraud,financial_exposure_score,risk_score,risk_explanation,final_action,final_intervention
TX_0009808,CUST_02788,MER_0263,DEV_02998,IP_04275,2026-06-09 02:22:00,5000.0,Kochi,807,11,11,5,1,7.251,5,1,1.0,100.0,REVIEW,0.0,2.0,0.0,7.0,0,1,1,26.5,100.0,100.0,100.0,5000.0,50.0,5000.0,1024.9999999999998,325.0000000000002,REVIEW,325.0000000000002,1,1,100.0,100.0,high fraud probability; highly unusual behavioral pattern; transaction amount is significantly above normal customer behavior; elevated transaction velocity; multiple recent failed attempts; newly observed device; unusual transaction location,REVIEW,1
TX_0013395,CUST_03249,MER_0004,DEV_02178,IP_00299,2026-06-09 10:29:00,5241.69,Ahmedabad,599,10,8,3,1,7.492,5,1,1.0,100.0,REVIEW,0.0,1.0,0.0,7.0,0,0,0,18.5,100.0,100.0,100.0,5241.69,52.4169,5241.69,1073.3379999999997,337.0845000000002,REVIEW,337.0845000000002,1,1,100.0,100.0,high fraud probability; highly unusual behavioral pattern; transaction amount is significantly above normal customer behavior; elevated transaction velocity; multiple recent failed attempts; newly observed device; unusual transaction location,REVIEW,1
TX_0004599,CUST_01638,MER_0142,DEV_02742,IP_00590,2026-06-06 01:08:00,22258.43,Pune,393,8,11,5,1,11.622,5,1,1.0,100.0,REVIEW,0.0,1.0,0.0,4.0,0,0,0,14.0,100.0,100.0,100.0,22258.43,222.5843,22258.43,4476.685999999999,1187.921500000001,REVIEW,1187.921500000001,1,1,100.0,100.0,high fraud probability; highly unusual behavioral pattern; transaction amount is significantly above normal customer behavior; elevated transaction velocity; multiple recent failed attempts; newly observed device; unusual transaction location,REVIEW,1
TX_0003514,CUST_00898,MER_0260,DEV_03852,IP_05565,2026-06-03 19:47:00,8396.61,Chennai,888,7,10,6,1,9.924,5,1,1.0,100.0,REVIEW,0.0,1.0,0.0,5.0,0,0,0,15.5,100.0,100.0,100.0,8396.61,83.96610000000001,8396.61,1704.3219999999997,494.8305000000004,REVIEW,494.8305000000004,1,1,100.0,100.0,high fraud probability; highly unusual behavioral pattern; transaction amount is significantly above normal customer behavior; elevated transaction velocity; multiple recent failed attempts; newly observed device; unusual transaction location,REVIEW,1
TX_0000280,CUST_02555,MER_0063,DEV_02013,IP_04925,2026-06-16 02:13:00,8834.49,Pune,458,3,6,4,1,8.809,5,1,1.0,100.0,REVIEW,1.0,2.0,1.0,9.0,0,1,1,39.0,100.0,100.0,100.0,8834.49,88.3449,8834.49,1791.8979999999995,516.7245000000004,REVIEW,516.7245000000004,1,1,100.0,100.0,high fraud probability; highly unusual behavioral pattern; transaction amount is significantly above normal customer behavior; elevated transaction velocity; multiple recent failed attempts; newly observed device; unusual transaction location,REVIEW,1
TX_0001156,CUST_03390,MER_0173,DEV_04535,IP_02012,2026-06-04 08:05:00,26255.21,Kochi,510,6,6,3,1,10.18,5,1,1.0,100.0,REVIEW,1.0,1.0,7.0,4.0,0,0,0,32.5,100.0,100.0,100.0,26255.21,262.5521,26255.21,5276.041999999999,1387.7605000000012,REVIEW,1387.7605000000012,1,1,100.0,100.0,high fraud probability; highly unusual behavioral pattern; transaction amount is significantly above normal customer behavior; elevated transaction velocity; multiple recent failed attempts; newly observed device; unusual transaction location,REVIEW,1
TX_0000149,CUST_00173,MER_0284,DEV_03203,IP_05158,2026-05-29 15:13:00,7157.41,Pune,914,2,7,6,1,7.171,5,1,1.0,100.0,REVIEW,1.0,1.0,2.0,3.0,0,0,0,23.5,100.0,100.0,100.0,7157.41,71.5741,7157.41,1456.4819999999997,432.87050000000033,REVIEW,432.87050000000033,1,1,100.0,100.0,high fraud probability; highly unusual behavioral pattern; transaction amount is significantly above normal customer behavior; elevated transaction velocity; multiple recent failed attempts; newly observed device; unusual transaction location,REVIEW,1
TX_0012444,CUST_00745,MER_0237,DEV_02713,IP_03243,2026-06-24 09:36:00,5000.0,Pune,595,10,7,6,1,6.531,5,1,1.0,100.0,REVIEW,1.0,1.0,3.0,4.0,0,0,0,26.5,100.0,100.0,100.0,5000.0,50.0,5000.0,1024.9999999999998,325.0000000000002,REVIEW,325.0000000000002,1,1,100.0,100.0,high fraud probability; highly unusual behavioral pattern; transaction amount is significantly above normal customer behavior; elevated transaction velocity; multiple recent failed attempts; newly observed device; unusual transaction location,REVIEW,1
TX_0015671,CUST_02011,MER_0013,DEV_03390,IP_04257,2026-06-24 06:39:00,14088.84,Delhi,1246,4,10,5,1,8.938,5,1,1.0,100.0,REVIEW,3.0,3.0,13.0,9.0,1,1,3,81.0,100.0,100.0,100.0,14088.84,140.88840000000002,14088.84,2842.7679999999996,779.4420000000007,REVIEW,779.4420000000007,1,1,100.0,100.0,high fraud probability; highly unusual behavioral pattern; transaction amount is significantly above normal customer behavior; elevated transaction velocity; multiple recent failed attempts; newly observed device; unusual transaction location,REVIEW,1
TX_0019584,CUST_03038,MER_0061,DEV_04114,IP_02758,2026-05-29 11:05:00,5000.0,Ahmedabad,320,12,7,6,1,8.453,5,1,1.0,100.0,REVIEW,4.0,1.0,20.0,2.0,1,0,2,61.0,100.0,100.0,100.0,5000.0,50.0,5000.0,1024.9999999999998,325.0000000000002,REVIEW,325.0000000000002,1,1,100.0,100.0,high fraud probability; highly unusual behavioral pattern; transaction amount is significantly above normal customer behavior; elevated transaction velocity; multiple recent failed attempts; newly observed device; unusual transaction location,REVIEW,1
TX_0015540,CUST_02752,MER_0108,DEV_01545,IP_00383,2026-06-24 21:14:00,16040.87,Kolkata,413,2,7,4,1,9.414,5,1,1.0,100.0,REVIEW,0.0,3.0,0.0,21.0,0,1,2,44.0,100.0,100.0,100.0,16040.87,160.4087,16040.87,3233.1739999999995,877.0435000000008,REVIEW,877.0435000000008,1,1,100.0,100.0,high fraud probability; highly unusual behavioral pattern; transaction amount is significantly above normal customer behavior; elevated transaction velocity; multiple recent failed attempts; newly observed device; unusual transaction location,REVIEW,1
TX_0007242,CUST_01394,MER_0032,DEV_04284,IP_00132,2026-05-28 03:53:00,29637.22,Ahmedabad,1076,2,9,4,1,11.839,5,1,1.0,100.0,REVIEW,0.0,1.0,0.0,2.0,0,0,0,11.0,100.0,100.0,100.0,29637.22,296.3722,29637.22,5952.443999999999,1556.8610000000015,REVIEW,1556.8610000000015,1,1,100.0,100.0,high fraud probability; highly unusual behavioral pattern; transaction amount is significantly above normal customer behavior; elevated transaction velocity; multiple recent failed attempts; newly observed device; unusual transaction location,REVIEW,1
TX_0007986,CUST_01705,MER_0245,DEV_00911,IP_04430,2026-05-27 22:12:00,15595.7,Mumbai,475,12,11,5,1,9.306,5,1,1.0,100.0,REVIEW,0.0,2.0,0.0,3.0,0,1,1,20.5,100.0,100.0,100.0,15595.7,155.95700000000002,15595.7,3144.1399999999994,854.7850000000008,REVIEW,854.7850000000008,1,1,100.0,100.0,high fraud probability; highly unusual behavioral pattern; transaction amount is significantly above normal customer behavior; elevated transaction velocity; multiple recent failed attempts; newly observed device; unusual transaction location,REVIEW,1
TX_0006901,CUST_00334,MER_0064,DEV_01742,IP_02085,2026-06-24 21:09:00,7460.22,Pune,1014,9,6,6,1,10.06,5,1,1.0,100.0,REVIEW,2.0,1.0,14.0,4.0,1,0,2,50.0,100.0,100.0,100.0,7460.22,74.60220000000001,7460.22,1517.0439999999996,448.01100000000037,REVIEW,448.01100000000037,1,1,100.0,100.0,high fraud probability; highly unusual behavioral pattern; transaction amount is significantly above normal customer behavior; elevated transaction velocity; multiple recent failed attempts; newly observed device; unusual transaction location,REVIEW,1
TX_0013920,CUST_01155,MER_0194,DEV_03532,IP_01667,2026-05-27 05:44:00,5258.98,Mumbai,353,3,9,6,1,4.948,5,1,1.0,100.0,REVIEW,1.0,3.0,4.0,13.0,0,1,2,57.5,100.0,100.0,100.0,5258.98,52.5898,5258.98,1076.7959999999996,337.94900000000024,REVIEW,337.94900000000024,1,1,100.0,100.0,high fraud probability; highly unusual behavioral pattern; transaction amount is significantly above normal customer behavior; elevated transaction velocity; multiple recent failed attempts; newly observed device; unusual transaction location,REVIEW,1
TX_0014181,CUST_01616,MER_0174,DEV_01070,IP_05039,2026-06-26 17:17:00,20022.86,Delhi,510,9,11,3,1,10.988,5,1,1.0,100.0,REVIEW,0.0,1.0,0.0,9.0,0,0,0,21.5,100.0,100.0,100.0,20022.86,200.2286,20022.86,4029.571999999999,1076.143000000001,REVIEW,1076.143000000001,1,1,100.0,100.0,high fraud probability; highly unusual behavioral pattern; transaction amount is significantly above normal customer behavior; elevated transaction velocity; multiple recent failed attempts; newly observed device; unusual transaction location,REVIEW,1
TX_0019937,CUST_02910,MER_0286,DEV_01690,IP_05752,2026-05-27 19:19:00,21079.26,Pune,1244,2,7,5,1,10.748,5,1,1.0,100.0,REVIEW,0.0,2.0,0.0,9.0,0,1,1,29.5,100.0,100.0,100.0,21079.26,210.7926,21079.26,4240.851999999999,1128.9630000000009,REVIEW,1128.9630000000009,1,1,100.0,100.0,high fraud probability; highly unusual behavioral pattern; transaction amount is significantly above normal customer behavior; elevated transaction velocity; multiple recent failed attempts; newly observed device; unusual transaction location,REVIEW,1
